experiment_name,model_name,accuracy,accuracy_interval_lower,accuracy_interval_upper,precision,precision_interval_lower,precision_interval_upper,recall,recall_interval_lower,recall_interval_upper,f1_score,f1_score_interval_lower,f1_score_interval_upper
experiment #94,SVM (EM),0.9726156751652504,0.987484005008188,0.9921165228656932,0.9934640522875816,0.9843354191229586,0.9898160328966582,0.9693877551020408,0.9822796135169782,0.9899187265771252,0.9812782440284056,0.9835096974071872,0.9896318707195472
experiment #94,Decision Tree,0.9575070821529744,0.9853433339628092,0.9904800422899998,0.9907038512616202,0.980417672667076,0.9894395218112592,0.951530612244898,0.9793398873624092,0.98743274469869,0.970722186076773,0.9807241590394304,0.9874545000926772
experiment #95,SVM (mean),0.9763928234183192,0.9775651954277296,0.985040646852115,0.9749687108886108,0.9738413455708668,0.9860927740885076,0.9936224489795918,0.9644160636200084,0.9774339767738254,0.9842072015161086,0.9702426384534552,0.9801463781762528
experiment #95,SVM (EM),0.980169971671388,0.9782769260498592,0.9843253495145736,0.979874213836478,0.97478963101857,0.9848244136296662,0.9936224489795918,0.9663063174949088,0.9755414890240164,0.986700443318556,0.9711938469181666,0.979195657525617
experiment #95,Decision Tree,0.9669499527856468,0.9797960361895376,0.9896122457236486,0.9934123847167324,0.9721165387682577,0.986830932503065,0.9617346938775512,0.9740853057887694,0.986937446347918,0.9773169151004536,0.9734880753974688,0.9863760142581404
experiment #96,SVM (mean),0.8895184135977338,0.8939270727775138,0.904749675804717,0.8701442841287459,0.9376650591694348,0.9432930729456308,1.0,0.7923286445975916,0.8137062137902081,0.9305637982195846,0.8356322730146553,0.855372469490139
experiment #96,SVM (EM),0.9716713881019832,0.98778177718952,0.9929522528422235,0.993455497382199,0.984979256599574,0.9918832308819472,0.9681122448979592,0.9821375517370186,0.9903346334931028,0.9806201550387597,0.983887697686086,0.990717052309172
experiment #96,Decision Tree,0.8970727101038716,0.9860678354822138,0.9908961763592812,0.9912663755458516,0.9797789780610392,0.9901078356651029,0.8686224489795918,0.9821056464588216,0.9878589135689632,0.9259007477906186,0.98178289660912,0.9879882058195464
experiment #97,SVM (mean),0.9830028328611898,0.980619157669284,0.985385764397984,0.9835858585858586,0.976327042911945,0.985846165193416,0.9936224489795918,0.970028258660238,0.9784775551540752,0.9885786802030456,0.9743678043810884,0.9806561983618906
experiment #97,SVM (EM),0.9811142587346552,0.980710891971511,0.9890676150014178,0.9823232323232324,0.9774298039099112,0.9895578617397298,0.9923469387755102,0.9706705769976024,0.98278940230922,0.9873096446700508,0.9744791691127896,0.9855063009469948
experiment #97,Decision Tree,0.9244570349386212,0.9861385348961104,0.9919525590155064,0.9985835694050992,0.9804224364648192,0.989176901554629,0.8992346938775511,0.9819156628213196,0.9912376124249668,0.9463087248322148,0.9818090434529468,0.9894470169912678
experiment #98,SVM (mean),0.8999055712936733,0.8214547944050262,0.8291654574050819,0.8808988764044944,0.8987956027893105,0.9068628361702284,1.0,0.6515240531558298,0.665811469885874,0.9366786140979688,0.6790129729913112,0.6974631893417851
experiment #98,SVM (EM),0.9811142587346552,0.992086836980451,0.9962036363226844,0.9872448979591836,0.990754444122152,0.9950786484497964,0.9872448979591836,0.9879599841718768,0.9954145643810076,0.9872448979591836,0.9895524015762146,0.9950132253187572
experiment #98,Decision Tree,0.9499527856468366,0.8458284503498013,0.8724053121782867,0.9802890932982916,0.7985629239281142,0.8318243832200554,0.951530612244898,0.7930004341066427,0.8353123302888842,0.9656957928802588,0.7957230093790651,0.8328919890478091
